method,size,question_id,gold_answer,k,majority_answer,sc_correct,pass1_correct,greedy_correct,greedy_answer,consistency_ratio,nli_score,n_parseable,n_with_reasoning,greedy_parseable,mean_output_chars,judge_score_first,judge_score_mean,judge_score_greedy
dpo,1.5b,23,8,5,8.0,True,True,True,8.0,0.8,0.002385790226981,5,5,True,642.6,1.0,0.75,1.0
dpo,1.5b,29,104,5,94.0,False,False,False,94.0,0.25,0.7287553548812866,4,4,True,612.6,0.25,0.2,0.0
dpo,1.5b,31,80,5,80.0,True,True,False,,1.0,0.2319195419549942,3,4,False,739.8,1.0,0.6,0.0
dpo,1.5b,32,35,5,35.0,True,True,False,,0.75,0.5275193452835083,4,5,False,771.8,1.0,0.65,0.0
dpo,1.5b,43,48,5,2000.0,False,False,False,0.0,0.5,0.0025762035511434,2,2,True,995.6,0.0,0.25,0.0
dpo,1.5b,44,20,5,30.0,False,False,True,20.0,1.0,0.404778391122818,1,2,True,825.4,0.0,0.04999999999999999,1.0
dpo,1.5b,48,8,5,8.0,True,True,True,8.0,0.8,0.2170015573501587,5,5,True,628.0,1.0,0.8999999999999999,1.0
dpo,1.5b,49,30,5,30.0,True,False,True,30.0,0.6,0.035682737827301,5,5,True,698.6,0.25,0.75,1.0
dpo,1.5b,51,5,5,48.0,False,False,True,5.0,1.0,0.0,1,3,True,951.6,0.0,0.0,1.0
dpo,1.5b,58,57,5,57.0,True,False,False,17.0,0.5,0.0023417470511049,2,2,True,731.4,0.0,0.25,0.25
dpo,1.5b,63,1596,5,1596.0,True,False,False,,1.0,0.6671326756477356,1,2,False,679.2,0.0,0.15000000000000002,0.0
dpo,1.5b,65,36,5,36.0,True,True,False,30.0,1.0,0.5946267247200012,4,4,True,715.0,1.0,0.8,0.25
dpo,1.5b,70,7425,5,7425.0,True,True,False,,1.0,0.0060854023322463,4,3,False,598.4,1.0,0.6,0.0
dpo,1.5b,76,5,5,270.0,False,False,False,,1.0,0.5852205753326416,1,3,False,814.2,0.0,0.0,0.0
dpo,1.5b,78,6,5,7.5,False,False,False,,0.3333333333333333,0.3484799861907959,3,3,False,879.6,0.0,0.25,0.0
dpo,1.5b,81,17,5,17.0,True,True,True,17.0,1.0,0.6011349558830261,5,5,True,559.6,1.0,1.0,1.0
dpo,1.5b,86,22,5,22.0,True,True,True,22.0,0.6,0.5723292231559753,5,5,True,410.6,1.0,0.65,1.0
dpo,1.5b,101,6,5,6.0,True,True,True,6.0,1.0,0.0843160897493362,5,5,True,842.6,1.0,0.95,1.0
dpo,1.5b,113,25,5,25.0,True,True,True,25.0,0.6,0.166805699467659,5,5,True,637.2,1.0,0.8,1.0
dpo,1.5b,115,90,5,135.0,False,False,False,,1.0,0.3421388864517212,1,1,False,813.4,0.0,0.04999999999999999,0.0
dpo,1.5b,123,50,5,50.0,True,True,False,,1.0,0.6409164071083069,2,3,False,776.0,1.0,0.4,0.0
dpo,1.5b,128,880,5,4.0,False,False,False,,1.0,0.0123063055798411,2,4,False,880.4,0.0,0.15000000000000002,0.0
