method,size,question_id,gold_answer,k,majority_answer,sc_correct,pass1_correct,greedy_correct,greedy_answer,consistency_ratio,nli_score,n_parseable,n_with_reasoning,greedy_parseable,mean_output_chars,judge_score_first,judge_score_mean,judge_score_greedy
grpo,1.5b,23,8,5,8.0,True,False,True,8.0,0.5,0.4496720433235168,4,5,True,307.2,0.25,0.44999999999999996,1.0
grpo,1.5b,29,104,5,104.0,True,True,False,100.0,0.2,0.8761526346206665,5,5,True,365.2,1.0,0.30000000000000004,0.0
grpo,1.5b,31,80,5,80.0,True,True,False,100.0,0.6666666666666666,0.6043552160263062,3,3,True,535.8,1.0,0.4,0.25
grpo,1.5b,32,35,5,35.0,True,True,True,35.0,0.5,0.8155794143676758,4,4,True,440.4,1.0,0.55,1.0
grpo,1.5b,43,48,5,240.0,False,False,False,4.0,0.25,0.8868505954742432,4,4,True,694.2,0.0,0.0,0.0
grpo,1.5b,44,20,5,30.0,False,False,True,20.0,0.75,0.1510248482227325,4,4,True,521.0,0.0,0.09999999999999998,1.0
grpo,1.5b,48,8,5,8.0,True,True,True,8.0,0.8,0.1532656252384185,5,5,True,367.4,1.0,0.8999999999999999,1.0
grpo,1.5b,49,30,5,45.0,False,False,True,30.0,0.25,0.930344581604004,4,5,True,521.2,0.25,0.30000000000000004,1.0
grpo,1.5b,51,5,5,18.3,False,False,False,67.0,0.2,0.7130301594734192,5,5,True,479.6,0.0,0.04999999999999999,0.0
grpo,1.5b,58,57,5,58.75,False,False,True,57.0,0.2,0.8538807034492493,5,5,True,470.0,0.25,0.44999999999999996,1.0
grpo,1.5b,63,1596,5,420.0,False,False,True,1596.0,0.3333333333333333,0.7767027616500854,3,5,True,584.0,0.0,0.0,1.0
grpo,1.5b,65,36,5,48.0,False,False,False,12.0,0.2,0.8258543610572815,5,5,True,609.8,0.0,0.2,0.25
grpo,1.5b,70,7425,5,1096.0,False,False,False,1365.0,0.25,0.0,4,4,True,431.0,0.0,0.04999999999999999,0.0
grpo,1.5b,76,5,5,7.0,False,False,False,,0.25,0.072083942592144,4,4,False,625.2,0.25,0.35,0.0
grpo,1.5b,78,6,5,6.0,True,False,False,3.0,0.4,0.0182299725711345,5,5,True,500.2,0.25,0.44999999999999996,0.5
grpo,1.5b,81,17,5,17.0,True,False,False,7.0,0.4,0.7947002053260803,5,5,True,523.6,0.0,0.44999999999999996,0.0
grpo,1.5b,86,22,5,22.0,True,False,True,22.0,0.4,0.5581620931625366,5,5,True,259.4,0.25,0.44999999999999996,1.0
grpo,1.5b,101,6,5,6.0,True,False,True,6.0,0.6,0.354247897863388,5,3,True,547.6,0.0,0.4,1.0
grpo,1.5b,113,25,5,25.0,True,False,True,25.0,0.6,0.0323189571499824,5,5,True,377.4,0.5,0.7,1.0
grpo,1.5b,115,90,5,-150.0,False,False,False,,0.3333333333333333,0.909871518611908,3,3,False,554.6,0.25,0.15000000000000002,0.0
grpo,1.5b,123,50,5,50.0,True,True,True,50.0,0.8,0.8838768005371094,5,4,True,572.2,1.0,0.8,1.0
grpo,1.5b,128,880,5,880.0,True,False,False,,0.75,0.969283401966095,4,4,False,605.2,0.0,0.7,0.0
grpo,1.5b,155,280,5,110.0,False,False,False,,0.5,0.9635223746299744,2,2,False,671.6,0.0,0.0,0.0
grpo,1.5b,175,15,5,5.0,False,False,False,0.0,0.2,0.0706579759716987,5,5,True,634.2,0.0,0.04999999999999999,0.0
grpo,1.5b,184,25,5,50.0,False,False,False,38.89,0.5,0.0298510417342185,2,2,True,671.2,0.0,0.04999999999999999,0.25
grpo,1.5b,192,91,5,463.0,False,False,True,91.0,0.2,0.9280464053153992,5,5,True,493.4,0.5,0.15000000000000002,1.0
grpo,1.5b,196,120,5,120.0,True,True,True,120.0,0.6,0.1357695907354354,5,5,True,488.8,1.0,0.75,1.0
grpo,1.5b,208,76,5,76.0,True,True,True,76.0,1.0,0.6159881353378296,4,5,True,396.2,1.0,0.8,1.0
grpo,1.5b,210,10,5,10.0,True,True,False,15.0,0.6666666666666666,0.6411504745483398,3,4,True,672.2,0.5,0.30000000000000004,0.25
grpo,1.5b,218,45,5,44.83,False,False,False,,0.3333333333333333,0.779237687587738,3,3,False,612.6,0.0,0.2,0.0
grpo,1.5b,220,70,5,70.0,True,True,True,70.0,1.0,0.1466816365718841,4,4,True,296.4,1.0,0.8,1.0
grpo,1.5b,221,90,5,90.0,True,True,True,90.0,1.0,0.3615509867668152,5,4,True,583.6,1.0,0.8,1.0
grpo,1.5b,231,50,5,50.0,True,True,True,50.0,0.4,0.6761958003044128,5,5,True,388.6,1.0,0.6,1.0
grpo,1.5b,233,12,5,-6.0,False,False,True,12.0,0.25,0.5509597063064575,4,4,True,511.2,0.0,0.2,1.0
grpo,1.5b,239,280,5,280.0,True,True,True,280.0,1.0,0.8261560201644897,4,4,True,649.4,1.0,0.8,1.0
grpo,1.5b,240,21,5,21.0,True,False,True,21.0,0.75,0.8441166281700134,4,5,True,671.0,0.0,0.6,1.0
grpo,1.5b,243,250,5,250.0,True,True,True,250.0,0.75,0.2371010780334472,4,5,True,350.2,1.0,0.6,1.0
grpo,1.5b,247,32,5,32.0,True,True,True,32.0,0.8,0.8524044752120972,5,5,True,356.4,1.0,0.8,1.0
grpo,1.5b,254,84,5,36.0,False,False,True,84.0,0.4,0.4863658845424652,5,5,True,333.6,0.0,0.30000000000000004,1.0
grpo,1.5b,259,168,5,204.0,False,False,False,,0.5,0.5075650215148926,2,3,False,701.0,0.0,0.0,0.0
grpo,1.5b,261,62,5,62.0,True,False,True,62.0,0.4,0.9501553177833556,5,5,True,462.6,0.25,0.55,1.0
grpo,1.5b,265,9500,5,24500.0,False,False,True,9500.0,0.25,0.7420377135276794,4,4,True,549.6,0.0,0.30000000000000004,1.0
grpo,1.5b,270,762,5,762.0,True,False,True,762.0,1.0,0.3180203139781952,3,4,True,304.2,0.0,0.6,1.0
grpo,1.5b,277,4,5,2.65,False,False,True,4.0,0.3333333333333333,0.8120805025100708,3,4,True,514.2,0.25,0.25,1.0
grpo,1.5b,282,195,5,225.0,False,False,False,180.0,0.4,0.8845330476760864,5,4,True,531.0,0.0,0.09999999999999998,0.25
grpo,1.5b,286,90,5,90.0,True,True,True,90.0,0.6,0.0751435458660125,5,5,True,522.8,1.0,0.7,1.0
grpo,1.5b,289,16,5,16.0,True,True,False,8.0,0.5,0.5036818981170654,4,5,True,560.8,1.0,0.30000000000000004,0.25
grpo,1.5b,291,2,5,2.0,True,True,False,3.5,0.8,0.8034364581108093,5,5,True,604.0,1.0,0.8,0.5
grpo,1.5b,296,3,5,3.0,True,True,False,42.0,0.4,0.0991526842117309,5,4,True,430.0,0.0,0.25,0.0
grpo,1.5b,297,55,5,25.0,False,False,True,55.0,0.2,0.8229304552078247,5,5,True,465.0,0.0,0.09999999999999998,1.0
grpo,1.5b,298,500,5,1100.0,False,False,False,600.0,0.25,0.0292641539126634,4,4,True,601.4,0.0,0.0,0.0
grpo,1.5b,309,8,5,11.0,False,False,True,8.0,0.5,0.1083318665623664,4,4,True,593.8,0.5,0.15000000000000002,1.0
grpo,1.5b,331,8400,5,8400.0,True,False,False,,1.0,0.0272114649415016,1,1,False,554.8,0.0,0.2,0.0
grpo,1.5b,339,160,5,160.0,True,True,False,,0.2,0.9478754997253418,5,5,False,493.4,1.0,0.2,0.0
grpo,1.5b,342,87,5,87.0,True,False,True,87.0,0.4,0.5944045782089233,5,5,True,485.2,0.0,0.44999999999999996,1.0
grpo,1.5b,344,2,5,2.0,True,True,True,2.0,1.0,0.5972596406936646,5,3,True,414.6,0.0,0.6,1.0
grpo,1.5b,346,9,5,25.0,False,False,True,9.0,0.5,0.5923599004745483,4,5,True,608.6,0.0,0.30000000000000004,1.0
grpo,1.5b,351,10,5,10.0,True,True,False,-10.0,0.5,0.3174237906932831,4,5,True,520.0,1.0,0.55,0.5
grpo,1.5b,352,21,5,21.0,True,True,True,21.0,1.0,0.7913964986801147,5,5,True,356.6,1.0,1.0,1.0
grpo,1.5b,365,18,5,18.0,True,True,True,18.0,0.8,0.4995815753936767,5,5,True,429.2,1.0,0.8,1.0
grpo,1.5b,367,19,5,1.0,False,False,True,19.0,0.3333333333333333,0.2174356877803802,3,3,True,707.0,0.25,0.30000000000000004,1.0
grpo,1.5b,371,50,5,50.0,True,True,False,56.0,0.5,0.1311736702919006,4,4,True,409.4,1.0,0.4,0.25
grpo,1.5b,377,50,5,50.0,True,True,True,50.0,0.6666666666666666,0.5411939024925232,3,5,True,570.0,1.0,0.4,1.0
grpo,1.5b,409,168000,5,620.0,False,False,False,,1.0,0.8207041025161743,1,2,False,703.6,0.0,0.0,0.0
grpo,1.5b,410,3,5,4.0,False,False,False,,0.25,0.4110729396343231,4,4,False,759.2,0.0,0.2,0.0
grpo,1.5b,411,1110,5,790.0,False,False,True,1110.0,0.5,0.0092193530872464,4,3,True,484.8,0.5,0.09999999999999998,1.0
grpo,1.5b,420,17000,5,17000.0,True,True,False,1.2,0.75,0.3828745782375335,4,5,True,350.6,1.0,0.7,0.0
grpo,1.5b,422,284,5,72.0,False,False,False,184.0,0.2,0.9455309510231018,5,5,True,523.6,0.0,0.15000000000000002,0.25
grpo,1.5b,425,150,5,180.0,False,False,False,120.0,0.4,0.1397608816623687,5,5,True,507.8,0.0,0.04999999999999999,0.5
grpo,1.5b,427,150,5,99.0,False,False,False,51.0,0.2,0.4463235139846802,5,5,True,544.8,0.0,0.04999999999999999,0.0
grpo,1.5b,428,26,5,0.0,False,False,False,32.0,0.5,0.2824822068214416,4,4,True,423.6,0.0,0.0,0.0
grpo,1.5b,430,132,5,132.0,True,True,True,132.0,0.75,0.805932343006134,4,4,True,409.0,1.0,0.65,1.0
grpo,1.5b,438,2,5,2.0,True,False,False,1.0,0.6666666666666666,0.0043583675287663,3,3,True,665.4,0.0,0.30000000000000004,0.25
grpo,1.5b,451,11050,5,11050.0,True,True,True,11050.0,0.8,0.0049687027931213,5,5,True,410.0,1.0,0.8,1.0
grpo,1.5b,453,6400,5,9200.0,False,False,False,5200.0,0.3333333333333333,0.9210087060928344,3,3,True,604.4,0.0,0.25,0.5
grpo,1.5b,462,71,5,71.0,True,True,False,,1.0,0.4620615243911743,5,5,False,209.4,1.0,1.0,0.0
grpo,1.5b,478,621,5,4200.0,False,False,False,4200.0,0.4,0.0170504115521907,5,5,True,443.4,0.0,0.44999999999999996,0.0
grpo,1.5b,485,220,5,220.0,True,True,True,220.0,0.6,0.9022586345672609,5,5,True,325.0,1.0,0.7,1.0
grpo,1.5b,486,6,5,6.0,True,True,True,6.0,0.8,0.1957632005214691,5,5,True,379.4,1.0,0.8,1.0
