method,size,question_id,gold_answer,k,majority_answer,sc_correct,pass1_correct,greedy_correct,greedy_answer,consistency_ratio,nli_score,n_parseable,n_with_reasoning,greedy_parseable,mean_output_chars,judge_score_first,judge_score_mean,judge_score_greedy
dpo,3b,23,8,5,8.0,True,False,True,8.0,1.0,0.000802646507509,1,1,True,348.8,0.0,0.2,1.0
dpo,3b,29,104,5,104.0,True,False,False,,0.5,0.0063757286407053,2,2,False,604.8,0.0,0.30000000000000004,0.0
dpo,3b,31,80,5,80.0,True,True,False,,0.6666666666666666,0.2055560052394867,3,2,False,748.2,1.0,0.4,0.0
dpo,3b,32,35,5,35.0,True,False,False,,1.0,0.2448728084564209,1,1,False,293.4,0.0,0.2,0.0
dpo,3b,43,48,5,48.0,True,False,False,,1.0,0.1240899041295051,2,2,False,985.8,0.0,0.4,0.0
dpo,3b,44,20,5,20.0,True,False,False,,1.0,0.4708388447761535,1,1,False,840.6,0.0,0.15000000000000002,0.0
dpo,3b,48,8,5,8.0,True,False,False,,1.0,0.0007690408383496,1,1,False,267.0,0.0,0.2,0.0
dpo,3b,49,30,5,30.0,True,True,False,,1.0,0.1807820200920105,2,2,False,550.8,1.0,0.4,0.0
dpo,3b,51,5,5,5.0,True,False,False,,1.0,0.0619595721364021,1,1,False,787.8,0.0,0.2,0.0
dpo,3b,58,57,5,57.0,True,False,False,,1.0,0.4400142133235931,2,2,False,694.2,0.0,0.35,0.0
dpo,3b,63,1596,5,1680.0,False,False,False,140.0,1.0,0.0135696679353713,1,1,True,534.2,0.0,0.09999999999999998,0.5
dpo,3b,65,36,5,36.0,True,True,False,,1.0,0.3582733273506164,1,1,False,572.2,1.0,0.2,0.0
dpo,3b,70,7425,5,7455.0,False,False,False,,0.3333333333333333,0.0048262332566082,3,4,False,934.0,0.5,0.5,0.0
dpo,3b,76,5,5,,False,False,False,,0.0,0.0,0,0,False,808.0,0.0,0.0,0.0
dpo,3b,78,6,5,9.0,False,False,False,,1.0,0.2415410429239273,2,2,False,910.4,0.0,0.09999999999999998,0.0
dpo,3b,81,17,5,17.0,True,True,False,,1.0,0.7385013103485107,2,2,False,434.8,1.0,0.4,0.0
dpo,3b,86,22,5,22.0,True,False,True,22.0,1.0,0.7624778747558594,1,1,True,355.4,0.0,0.2,1.0
dpo,3b,101,6,5,19.0,False,False,False,29.0,1.0,0.0177650656551122,2,2,True,606.4,0.0,0.09999999999999998,0.5
