method,size,question_id,gold_answer,k,majority_answer,sc_correct,pass1_correct,greedy_correct,greedy_answer,consistency_ratio,nli_score,n_parseable,n_with_reasoning,greedy_parseable,mean_output_chars,judge_score_first,judge_score_mean,judge_score_greedy
grpo,14b,23,8,5,8.0,True,True,True,8.0,1.0,0.2306796759366989,5,5,True,398.2,1.0,1.0,1.0
grpo,14b,29,104,5,104.0,True,False,True,104.0,0.75,0.6599891185760498,4,5,True,394.2,0.0,0.6,1.0
grpo,14b,31,80,5,80.0,True,True,False,83.33,0.8,0.1155285686254501,5,4,True,514.4,1.0,0.7,0.5
grpo,14b,32,35,5,35.0,True,True,True,35.0,0.8,0.4447499513626098,5,2,True,295.2,0.0,0.4,0.0
grpo,14b,43,48,5,48.0,True,False,True,48.0,1.0,0.3335521221160888,4,3,True,413.8,0.0,0.6,1.0
grpo,14b,44,20,5,20.0,True,True,True,20.0,1.0,0.1027842089533805,5,4,True,395.0,0.0,0.75,1.0
grpo,14b,48,8,5,8.0,True,True,True,8.0,1.0,0.4058766961097717,5,4,True,488.2,1.0,0.8,1.0
grpo,14b,49,30,5,30.0,True,True,True,30.0,1.0,0.248794749379158,5,5,True,421.4,1.0,1.0,1.0
grpo,14b,51,5,5,5.0,True,True,True,5.0,1.0,0.6474610567092896,5,4,True,251.6,1.0,0.8,0.0
grpo,14b,58,57,5,57.0,True,False,True,57.0,0.8,0.8153144121170044,5,5,True,394.8,0.25,0.8500000000000001,1.0
grpo,14b,63,1596,5,1596.0,True,True,False,,0.75,0.8356717824935913,4,5,False,661.4,1.0,0.65,0.0
grpo,14b,65,36,5,36.0,True,True,True,36.0,1.0,0.9343597292900084,5,3,True,358.8,1.0,0.6,1.0
grpo,14b,70,7425,5,7425.0,True,True,False,2925.0,1.0,0.2695031762123108,5,5,True,597.4,1.0,1.0,0.25
grpo,14b,76,5,5,5.0,True,True,False,,1.0,0.9012084007263184,3,3,False,670.4,1.0,0.6,0.0
grpo,14b,78,6,5,6.0,True,True,False,,1.0,0.5132567882537842,3,4,False,610.4,1.0,0.44999999999999996,0.0
grpo,14b,81,17,5,17.0,True,True,True,17.0,1.0,0.4252351522445678,5,4,True,369.6,1.0,0.75,1.0
grpo,14b,86,22,5,22.0,True,False,True,22.0,0.6,0.8046249151229858,5,3,True,365.6,0.0,0.4,1.0
grpo,14b,101,6,5,8.5,False,False,False,9.0,0.8,0.1766033619642257,5,5,True,376.8,0.5,0.30000000000000004,0.25
grpo,14b,113,25,5,25.0,True,True,True,25.0,1.0,0.0594128221273422,5,4,True,236.2,1.0,0.8,0.0
grpo,14b,115,90,5,,False,False,True,90.0,0.0,0.0,0,1,True,632.2,0.0,0.0,1.0
grpo,14b,123,50,5,50.0,True,False,True,50.0,1.0,0.3665428757667541,4,5,True,454.4,0.0,0.75,1.0
grpo,14b,128,880,5,880.0,True,False,True,880.0,1.0,0.9037208557128906,3,4,True,517.8,0.0,0.6,1.0
grpo,14b,155,280,5,280.0,True,False,False,,1.0,0.7804129719734192,3,3,False,675.6,0.0,0.4,0.0
grpo,14b,175,15,5,15.0,True,False,True,15.0,0.5,0.2288640886545181,4,4,True,508.2,0.0,0.4,1.0
grpo,14b,184,25,5,25.0,True,False,True,25.0,1.0,0.2015186250209808,1,1,True,891.2,0.0,0.2,1.0
grpo,14b,192,91,5,91.0,True,True,True,91.0,1.0,0.6533737182617188,5,2,True,481.2,0.0,0.4,0.0
grpo,14b,196,120,5,120.0,True,True,True,120.0,1.0,0.7611433267593384,5,5,True,369.2,1.0,0.95,1.0
grpo,14b,208,76,5,76.0,True,True,True,76.0,1.0,0.008403112180531,5,4,True,483.2,0.75,0.75,1.0
grpo,14b,210,10,5,10.0,True,True,True,10.0,0.6666666666666666,0.1505558639764785,3,4,True,671.0,1.0,0.4,1.0
grpo,14b,218,45,5,45.0,True,False,False,46.0,0.6,0.9293460249900818,5,5,True,565.6,0.5,0.7,0.25
grpo,14b,220,70,5,70.0,True,True,True,70.0,0.8,0.1100541278719902,5,4,True,375.2,1.0,0.7,1.0
grpo,14b,221,90,5,90.0,True,True,True,90.0,1.0,0.5374965667724609,5,5,True,355.2,1.0,1.0,1.0
grpo,14b,231,50,5,50.0,True,True,True,50.0,1.0,0.7656970620155334,4,5,True,381.8,1.0,0.8,1.0
grpo,14b,233,12,5,12.0,True,True,True,12.0,1.0,0.1570616066455841,5,5,True,444.8,1.0,1.0,1.0
grpo,14b,239,280,5,280.0,True,True,True,280.0,1.0,0.6783083081245422,5,5,True,566.6,1.0,0.95,1.0
grpo,14b,240,21,5,21.0,True,True,True,21.0,1.0,0.3608849644660949,5,5,True,329.8,1.0,0.95,1.0
grpo,14b,243,250,5,250.0,True,True,True,250.0,1.0,0.4442374110221863,5,4,True,305.6,1.0,0.8,1.0
grpo,14b,247,32,5,32.0,True,True,True,32.0,1.0,0.4427171945571899,5,5,True,343.2,1.0,0.95,1.0
grpo,14b,254,84,5,84.0,True,True,True,84.0,1.0,0.6423376202583313,4,3,True,361.4,0.0,0.6,1.0
grpo,14b,259,168,5,168.0,True,True,True,168.0,1.0,0.5946040749549866,5,5,True,457.2,1.0,1.0,1.0
grpo,14b,261,62,5,62.0,True,False,True,62.0,0.8,0.7527878880500793,5,4,True,425.6,0.0,0.6,1.0
grpo,14b,265,9500,5,9500.0,True,True,False,,1.0,0.5350766181945801,3,5,False,495.0,1.0,0.6,0.0
grpo,14b,270,762,5,762.0,True,True,True,762.0,1.0,0.0898312106728553,5,4,True,355.6,1.0,0.8,1.0
grpo,14b,277,4,5,4.0,True,False,True,4.0,1.0,0.9354314804077148,3,2,True,602.8,0.0,0.2,1.0
grpo,14b,282,195,5,195.0,True,True,True,195.0,1.0,0.282358855009079,4,5,True,395.6,1.0,0.8,1.0
grpo,14b,286,90,5,90.0,True,True,True,90.0,1.0,0.1380572319030761,4,5,True,497.2,1.0,0.75,1.0
grpo,14b,289,16,5,16.0,True,True,True,16.0,1.0,0.076306365430355,3,5,True,499.6,1.0,0.6,1.0
grpo,14b,291,2,5,2.0,True,True,True,2.0,1.0,0.3363663554191589,5,5,True,476.0,1.0,1.0,1.0
grpo,14b,296,3,5,3.0,True,True,True,3.0,1.0,0.3080493509769439,4,5,True,470.6,1.0,0.8,1.0
grpo,14b,297,55,5,55.0,True,False,True,55.0,1.0,0.7417298555374146,3,5,True,448.2,0.0,0.6,0.75
grpo,14b,298,500,5,350.0,False,False,False,400.0,0.6,0.6849742531776428,5,5,True,400.8,0.0,0.09999999999999998,0.25
grpo,14b,309,8,5,8.0,True,True,True,8.0,1.0,0.1127809807658195,5,3,True,514.8,0.0,0.6,0.0
grpo,14b,331,8400,5,8400.0,True,True,False,,1.0,0.083652064204216,1,1,False,530.6,1.0,0.2,0.0
grpo,14b,339,160,5,160.0,True,False,True,160.0,1.0,0.5816227197647095,3,4,True,681.4,0.0,0.6,1.0
grpo,14b,342,87,5,87.0,True,True,True,87.0,0.6,0.0299177858978509,5,5,True,356.6,0.75,0.55,1.0
grpo,14b,344,2,5,2.0,True,True,True,2.0,1.0,0.2414349019527435,4,5,True,334.6,1.0,0.8,1.0
grpo,14b,346,9,5,9.0,True,True,True,9.0,0.8,0.3827690482139587,5,5,True,310.4,1.0,0.8999999999999999,1.0
grpo,14b,351,10,5,10.0,True,True,True,10.0,1.0,0.3301813006401062,4,5,True,390.2,1.0,0.8,1.0
grpo,14b,352,21,5,21.0,True,True,True,21.0,1.0,0.5224077105522156,5,5,True,249.4,1.0,1.0,1.0
grpo,14b,365,18,5,18.0,True,True,True,18.0,1.0,0.4696967899799347,5,5,True,287.0,1.0,1.0,1.0
grpo,14b,367,19,5,19.0,True,True,True,19.0,0.4,0.5668109059333801,5,5,True,579.8,1.0,0.55,1.0
grpo,14b,371,50,5,50.0,True,True,False,100.0,0.8,0.8245747685432434,5,4,True,496.4,1.0,0.7,0.25
grpo,14b,377,50,5,50.0,True,True,True,50.0,1.0,0.7208224534988403,5,5,True,439.2,1.0,1.0,1.0
grpo,14b,409,168000,5,,False,False,False,,0.0,0.0,0,0,False,817.0,0.0,0.0,0.0
grpo,14b,410,3,5,3.0,True,True,True,3.0,1.0,0.4195210635662079,4,5,True,436.0,1.0,0.8,1.0
grpo,14b,411,1110,5,1110.0,True,True,True,1110.0,1.0,0.8779657483100891,4,3,True,392.2,1.0,0.6,0.0
grpo,14b,420,17000,5,17000.0,True,True,True,17000.0,1.0,0.6898320913314819,5,4,True,442.2,1.0,0.8,1.0
grpo,14b,422,284,5,300.0,False,False,False,324.0,0.5,0.8578094840049744,4,4,True,615.6,0.0,0.04999999999999999,0.0
grpo,14b,425,150,5,150.0,True,True,True,150.0,1.0,0.5064817070960999,5,4,True,485.2,1.0,0.8,1.0
grpo,14b,427,150,5,150.0,True,True,False,50.0,0.6666666666666666,0.0,3,2,True,359.8,0.0,0.04999999999999999,0.0
grpo,14b,428,26,5,22.0,False,False,False,18.0,0.6,0.4362144768238067,5,5,True,469.2,0.0,0.15000000000000002,0.0
grpo,14b,430,132,5,132.0,True,False,False,,1.0,0.577082097530365,3,5,False,492.4,0.0,0.6,0.0
